cliente_codigo	codigo	codigocolaborador	datainicio	datalancamento	dataproximarevisao	datarenovacao	dataterminoprevisto	dataultimaatualizacao	diasporsemana	emrevisaoprofessor	genero	idoperacaoemmassa	isgeradoporia	nivel_codigo	nome	nrtreinosrealizados	predefinido	professorcarteira_codigo	professormontou_codigo	programatreinorenovacao	programatreinorenovado	situacao	totalaulasprevistas	treinorapido	versao	_chave
10976	12161		2023-04-19 00:00:00.0	2023-04-19 07:57:40.495	2023-04-26 00:00:00.0		2023-05-31 00:00:00.0		2						PROG 1904230757	21		98	123			0	12		34	b3c787b3459ac48df1921ab2f20c970
6186	12206		2023-04-26 00:00:00.0	2023-04-26 19:20:11.016	2023-05-03 00:00:00.0		2023-06-07 00:00:00.0		2						PROG 2604231920	11		87	87			0	12		45	b3c787b3459ac48df1921ab2f20c970
11598	12106		2023-04-12 00:00:00.0	2023-04-12 19:38:10.261	2023-04-19 00:00:00.0		2023-06-01 00:00:00.0		5						Hipertrofia	29		98	98			0	36		7	b3c787b3459ac48df1921ab2f20c970
10889	12113		2023-04-13 00:00:00.0	2023-04-13 20:15:13.674	2023-04-20 00:00:00.0		2023-05-25 00:00:00.0		5						PROG 1304232015	3		98	51			0	30		24	b3c787b3459ac48df1921ab2f20c970
11612	12159		2023-04-18 00:00:00.0	2023-04-18 19:58:34.373	2023-04-25 00:00:00.0		2023-05-15 00:00:00.0		5						PROG 1804231958	15		126	51			0	19		27	b3c787b3459ac48df1921ab2f20c970
2656	12403		2023-05-19 00:00:00.0	2023-05-19 17:12:35.507	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		5						PROG 2409220904			94	97			0	30		3	b3c787b3459ac48df1921ab2f20c970
11091	12418		2023-05-19 00:00:00.0	2023-05-19 18:48:03.831	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		5						HIPER/MASC			123	123			0	30		2	b3c787b3459ac48df1921ab2f20c970
9943	12218		2023-04-27 00:00:00.0	2023-04-27 07:23:26.635	2023-05-04 00:00:00.0		2023-06-16 00:00:00.0		5						HIPER/FEM				123			0	36		21	b3c787b3459ac48df1921ab2f20c970
10583	12222		2023-04-27 00:00:00.0	2023-04-27 17:32:36.778	2023-05-04 00:00:00.0		2023-06-08 00:00:00.0		5						hipertrofia			123	123			0	30		3	b3c787b3459ac48df1921ab2f20c970
10740	12112		2023-04-13 00:00:00.0	2023-04-13 17:22:35.144	2023-04-20 00:00:00.0		2023-06-02 00:00:00.0		5						hipertrofia	14		97	51			0	36		47	b3c787b3459ac48df1921ab2f20c970
1132	12162		2023-04-19 00:00:00.0	2023-04-19 16:42:05.865	2023-04-26 00:00:00.0		2023-06-01 00:00:00.0		5						hipertrofia			97	98			0	30		67	b3c787b3459ac48df1921ab2f20c970
11002	12237		2023-04-28 00:00:00.0	2023-04-28 06:55:21.499	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						hipertrofia			98	123			0	30		2	b3c787b3459ac48df1921ab2f20c970
1844	12114		2023-04-14 00:00:00.0	2023-04-14 06:25:45.336	2023-04-21 00:00:00.0		2023-05-10 00:00:00.0		5						hipertrofia	3		98	98			0	18		4	b3c787b3459ac48df1921ab2f20c970
1667	12133		2023-04-18 00:00:00.0	2023-04-18 05:57:34.558	2023-04-25 00:00:00.0		2023-05-30 00:00:00.0		4						PROG 2607221720			73	87			0	24		3	b3c787b3459ac48df1921ab2f20c970
10172	11838		2023-03-12 00:00:00.0	2023-03-13 06:32:10.074	2023-03-20 00:00:00.0		2023-04-24 00:00:00.0		5						hipertrofia			98	123			0	30		37	b3c787b3459ac48df1921ab2f20c970
11326	12103		2023-04-12 00:00:00.0	2023-04-12 18:37:48.777	2023-04-19 00:00:00.0		2023-05-24 00:00:00.0		2						PROG 2202231323	10		123	123			0	12		55	b3c787b3459ac48df1921ab2f20c970
11346	12240		2023-04-28 00:00:00.0	2023-04-28 15:44:32.467	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						HIPER			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
11616	12248		2023-04-28 00:00:00.0	2023-04-28 17:11:35.07	2023-05-05 00:00:00.0		2023-06-17 00:00:00.0		5						hipertrofia	3		98	98			0	36		29	b3c787b3459ac48df1921ab2f20c970
11679	12391		2023-05-18 00:00:00.0	2023-05-18 17:51:13.98	2023-05-25 00:00:00.0		2023-06-29 00:00:00.0		5						Laura e Bruna			94	97			0	30		37	b3c787b3459ac48df1921ab2f20c970
11259	12289		2023-05-04 00:00:00.0	2023-05-04 06:11:22.605	2023-05-11 00:00:00.0		2023-06-15 00:00:00.0		2						Fortalecimento e adaptação	33		97	123			0	12		5	b3c787b3459ac48df1921ab2f20c970
4366	12398		2023-05-19 00:00:00.0	2023-05-19 16:17:48.127	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		5						TREINO 			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
4337	12390		2023-05-19 00:00:00.0	2023-05-18 07:21:46.769	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		2						PROG 1905230000	13		123	123			0	12		39	b3c787b3459ac48df1921ab2f20c970
7532	12425		2023-05-20 00:00:00.0	2023-05-20 12:15:59.229	2023-05-29 00:00:00.0		2023-07-01 00:00:00.0		5						Inter			94	51			0	30		3	b3c787b3459ac48df1921ab2f20c970
2490	12203		2023-04-25 00:00:00.0	2023-04-25 21:34:43.786	2023-05-02 00:00:00.0		2023-06-06 00:00:00.0		5						PROG 2504232134			97	51			0	30		31	b3c787b3459ac48df1921ab2f20c970
11064	12176		2023-04-20 00:00:00.0	2023-04-20 15:50:01.468	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		2						PROG 1801231355			125	125			0	12		2	b3c787b3459ac48df1921ab2f20c970
8630	12241		2023-04-28 00:00:00.0	2023-04-28 15:44:41.103	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						Hiper			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
39	13043		2023-08-04 00:00:00.0	2023-08-04 18:39:39.98	2023-08-11 00:00:00.0		2023-10-15 00:00:00.0		5	false			false		PROG 0408231839			128	128			0	51		25	b3c787b3459ac48df1921ab2f20c970
11617	12249		2023-04-28 00:00:00.0	2023-04-28 17:18:10.457	2023-05-05 00:00:00.0		2023-06-17 00:00:00.0		5						hipertrofia	2		98	98			0	36		29	b3c787b3459ac48df1921ab2f20c970
1381	12115		2023-04-14 00:00:00.0	2023-04-14 06:27:33.375	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		3						PROG 0112222037	5		98	98			0	18		4	b3c787b3459ac48df1921ab2f20c970
2386	12396		2023-05-19 00:00:00.0	2023-05-19 06:55:30.571	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		2						PROG 1905230655			125	98			0	12		26	b3c787b3459ac48df1921ab2f20c970
10060	12121		2023-04-14 00:00:00.0	2023-04-14 12:49:37.598	2023-04-21 00:00:00.0		2023-06-03 00:00:00.0		5						TREINO	27		125	125			0	36		12	b3c787b3459ac48df1921ab2f20c970
9625	12110		2023-04-13 00:00:00.0	2023-04-13 07:41:22.708	2023-04-20 00:00:00.0		2023-05-25 00:00:00.0		5						PROG 1304230741				87			0	30		26	b3c787b3459ac48df1921ab2f20c970
11411	12404		2023-05-19 00:00:00.0	2023-05-19 17:13:02.1	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		5						PROG 2501231834			125	97			0	30		3	b3c787b3459ac48df1921ab2f20c970
11428	13050		2023-08-07 00:00:00.0	2023-08-07 13:44:49.796	2023-08-14 00:00:00.0		2023-09-18 00:00:00.0		5						hipertrofia ABC masc ini			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
11426	12419		2023-05-19 00:00:00.0	2023-05-19 18:48:23.284	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		2						PROG 0304230746			123	123			0	12		2	b3c787b3459ac48df1921ab2f20c970
5889	13035		2023-08-04 00:00:00.0	2023-08-04 14:21:16.282	2023-08-11 00:00:00.0		2023-09-15 00:00:00.0		6						ABCD			125	125			0	36		2	b3c787b3459ac48df1921ab2f20c970
11600	12105		2023-04-12 00:00:00.0	2023-04-12 19:25:53.35	2023-04-19 00:00:00.0		2023-06-01 00:00:00.0		5						hipertrofia				51			0	36		19	b3c787b3459ac48df1921ab2f20c970
2334	12207		2023-04-26 00:00:00.0	2023-04-26 19:21:22.841	2023-05-03 00:00:00.0		2023-06-07 00:00:00.0		2						PROG 2604231921	17		87	87			0	12		12	b3c787b3459ac48df1921ab2f20c970
11103	12226		2023-04-28 00:00:00.0	2023-04-28 06:12:07.295	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						Hiper+Reduç.			87	87			0	30		2	b3c787b3459ac48df1921ab2f20c970
11628	12209		2023-04-26 00:00:00.0	2023-04-26 21:14:01.827	2023-05-03 00:00:00.0		2023-06-15 00:00:00.0		5						TREINO PEDRO	16		97	97			0	36		11	b3c787b3459ac48df1921ab2f20c970
8497	12200		2023-04-20 00:00:00.0	2023-04-20 17:59:11.83	2023-04-27 00:00:00.0		2023-06-09 00:00:00.0		5						Hipertrofia			94	98			0	36		11	b3c787b3459ac48df1921ab2f20c970
11736	13041		2023-08-04 00:00:00.0	2023-08-04 15:38:03.973	2023-08-11 00:00:00.0		2023-09-15 00:00:00.0		5						TREINO 			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
11452	11992		2023-03-28 00:00:00.0	2023-03-28 21:20:43.223	2023-04-04 00:00:00.0		2023-05-31 00:00:00.0		5	false			false		PROG 2803232120	8		122	51			0	45		77	b3c787b3459ac48df1921ab2f20c970
1617	13777		2023-11-14 00:00:00.0	2023-11-14 06:39:51.018	2023-11-21 00:00:00.0		2023-12-26 00:00:00.0		5	false			false		hipertrofia			87	98			0	30		3	b3c787b3459ac48df1921ab2f20c970
11870	14428		2024-02-03 00:00:00.0	2024-02-02 13:44:00.66	2024-02-12 00:00:00.0		2024-03-16 00:00:00.0		6	false			false		treino,			125	125	14062		0	36		2	b3c787b3459ac48df1921ab2f20c970
411	12164		2023-04-20 00:00:00.0	2023-04-20 06:16:21.088	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		5						HIPER/MASC			87	87			0	30		2	b3c787b3459ac48df1921ab2f20c970
11631	12216		2023-04-27 00:00:00.0	2023-04-27 06:43:32.375	2023-05-04 00:00:00.0		2023-06-16 00:00:00.0		5						Hipertrofia	24		98	98			0	36		25	b3c787b3459ac48df1921ab2f20c970
6800	12123		2023-04-14 00:00:00.0	2023-04-14 16:06:29.667	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		5						hipertrofia			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
10288	14709		2024-03-19 00:00:00.0	2024-03-19 18:58:53.063	2024-03-26 00:00:00.0		2024-04-30 00:00:00.0		5	false			false		HIPER/FEM	1		123	123			0	30		23	b3c787b3459ac48df1921ab2f20c970
11925	14707		2024-03-19 00:00:00.0	2024-03-19 17:24:33.963	2024-03-26 00:00:00.0		2024-04-30 00:00:00.0		2	false			false		PROG 1903241724			130	130			0	12		2	b3c787b3459ac48df1921ab2f20c970
11119	12134		2023-04-18 00:00:00.0	2023-04-18 05:57:52.018	2023-04-25 00:00:00.0		2023-05-30 00:00:00.0		5						PROG 1611220715			123	87			0	30		4	b3c787b3459ac48df1921ab2f20c970
10077	12223		2023-04-27 00:00:00.0	2023-04-27 17:33:22.142	2023-05-04 00:00:00.0		2023-06-08 00:00:00.0		5						Hiper			123	123			0	30		2	b3c787b3459ac48df1921ab2f20c970
11298	11434		2023-01-25 00:00:00.0	2023-01-25 09:10:30.348	2023-02-01 00:00:00.0		2023-05-01 00:00:00.0		5						hipertrofia			98	123			0	68		22	b3c787b3459ac48df1921ab2f20c970
11133	11977		2023-03-27 00:00:00.0	2023-03-27 06:27:34.948	2023-04-03 00:00:00.0		2023-05-16 00:00:00.0		5						hipertrofia	15		87	123			0	36		99	b3c787b3459ac48df1921ab2f20c970
105	12221		2023-04-27 00:00:00.0	2023-04-27 14:51:10.417	2023-05-04 00:00:00.0		2023-06-08 00:00:00.0			false			false		PROG 2704231451	26		123				0			34	b3c787b3459ac48df1921ab2f20c970
4618	15182		2024-05-10 00:00:00.0	2024-05-10 17:14:44.513	2024-05-17 00:00:00.0		2024-06-21 00:00:00.0		5	false			false		hipertrofia			129	129			0	30		2	b3c787b3459ac48df1921ab2f20c970
5054	12108		2023-04-12 00:00:00.0	2023-04-12 21:10:51.879	2023-04-19 00:00:00.0		2023-05-24 00:00:00.0		5						PROG 1204232110	14		125	98			0	30		23	b3c787b3459ac48df1921ab2f20c970
11612	12424		2023-05-23 00:00:00.0	2023-05-20 08:57:43.164	2023-05-30 00:00:00.0		2023-06-29 00:00:00.0		5						PROG 3105230000	18		126	51			0	26		26	b3c787b3459ac48df1921ab2f20c970
9503	12238		2023-04-28 00:00:00.0	2023-04-28 06:56:22.718	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						hipertrofia	8		98	123			0	30		23	b3c787b3459ac48df1921ab2f20c970
539	13034		2023-08-05 00:00:00.0	2023-08-04 10:39:38.375	2023-08-14 00:00:00.0		2023-09-03 00:00:00.0		5						hipertrofia	17		98	98	12794		0	21		4	b3c787b3459ac48df1921ab2f20c970
1167	12416		2023-05-31 00:00:00.0	2023-05-19 18:26:27.811	2023-06-07 00:00:00.0		2023-07-12 00:00:00.0		5						hipertrofia	5		98	98	12079		0	30		3	b3c787b3459ac48df1921ab2f20c970
1256	7674		2020-12-07 00:00:00.0	2020-12-07 06:04:15.235	2020-12-14 00:00:00.0		2021-01-18 00:00:00.0		5						PROG 0712200604			87	87			0	30		47	b3c787b3459ac48df1921ab2f20c970
764	13033		2023-08-03 00:00:00.0	2023-08-03 20:57:14.509	2023-08-10 00:00:00.0		2023-09-14 00:00:00.0		3						PROG 0308232057			128	128			0	18		16	b3c787b3459ac48df1921ab2f20c970
6262	13044		2023-08-07 00:00:00.0	2023-08-07 06:25:13.4	2023-08-14 00:00:00.0		2023-09-26 00:00:00.0		5						hipertrofia			98	123			0	36		19	b3c787b3459ac48df1921ab2f20c970
	12392			2023-05-18 18:04:35.65					5	false			false		Laura e Bruna		true		97			0	36		1	b3c787b3459ac48df1921ab2f20c970
12358	14700		2024-03-19 00:00:00.0	2024-03-19 08:05:22.5	2024-03-26 00:00:00.0		2024-04-30 00:00:00.0		5	false			false		PROG 1903240805	23		123	123			0	30		21	b3c787b3459ac48df1921ab2f20c970
11551	14708		2024-03-19 00:00:00.0	2024-03-19 18:01:26.657	2024-03-26 00:00:00.0		2024-04-30 00:00:00.0		5	false			false		NK 19/03			130	130			0	30		15	b3c787b3459ac48df1921ab2f20c970
11980	14702		2024-03-19 00:00:00.0	2024-03-19 16:49:40.374	2024-03-26 00:00:00.0		2024-06-10 00:00:00.0		3	false			false		LR 19/03			130	130			0	36		4	b3c787b3459ac48df1921ab2f20c970
1844	11451		2023-01-27 00:00:00.0	2023-01-27 06:54:15.78	2023-02-03 00:00:00.0		2023-03-18 00:00:00.0		5						hipertrofia	2		122	123	8223		0	35		49	b3c787b3459ac48df1921ab2f20c970
5889	12263		2023-05-03 00:00:00.0	2023-05-02 15:47:35.013	2023-05-10 00:00:00.0		2023-06-14 00:00:00.0		6						ABCD	1		125	125	11928		0	36		2	b3c787b3459ac48df1921ab2f20c970
9167	12315		2023-05-08 00:00:00.0	2023-05-08 18:15:06.966	2023-05-15 00:00:00.0		2023-06-19 00:00:00.0		4						PROG 0805231815				97			0	24		17	b3c787b3459ac48df1921ab2f20c970
1665	12267		2023-05-02 00:00:00.0	2023-05-02 18:00:44.764	2023-05-09 00:00:00.0		2023-06-13 00:00:00.0		5						PROG 2802232119			97	125			0	30		3	b3c787b3459ac48df1921ab2f20c970
10030	12405		2023-05-19 00:00:00.0	2023-05-19 17:25:56.023	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		5						PROG 2903231732	17		97	97			0	30		4	b3c787b3459ac48df1921ab2f20c970
286	12318		2023-05-09 00:00:00.0	2023-05-09 06:08:05.892	2023-05-16 00:00:00.0		2023-06-20 00:00:00.0		5						PROG 0905230608	9		87	87			0	30		18	b3c787b3459ac48df1921ab2f20c970
	12278			2023-05-02 19:16:00.504					5	false			false		Flavio M		true		97			0	36		1	b3c787b3459ac48df1921ab2f20c970
	12301			2023-05-05 17:57:05.875					5						Samuel Tiago		true		97			0			1	b3c787b3459ac48df1921ab2f20c970
11009	13036		2023-08-04 00:00:00.0	2023-08-04 14:22:07.296	2023-08-11 00:00:00.0		2023-09-15 00:00:00.0		5						hipertrofia ABC masc ini	1		125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
2757	12165		2023-04-20 00:00:00.0	2023-04-20 06:16:41.207	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		5						Pedro ABC			87	87			0	30		2	b3c787b3459ac48df1921ab2f20c970
3043	12322		2023-05-09 00:00:00.0	2023-05-09 15:23:48.391	2023-05-16 00:00:00.0		2023-06-20 00:00:00.0		5						PROG 0807201416			123	123			0	30		2	b3c787b3459ac48df1921ab2f20c970
11024	12170		2023-04-20 00:00:00.0	2023-04-20 06:47:41.927	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		5						hipertrofia				123			0	30		2	b3c787b3459ac48df1921ab2f20c970
10868	12124		2023-04-14 00:00:00.0	2023-04-14 16:07:13.198	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		5						hipertrofia			125	125			0	30		2	b3c787b3459ac48df1921ab2f20c970
11606	12250		2023-04-28 00:00:00.0	2023-04-28 17:23:57.844	2023-05-05 00:00:00.0		2023-06-17 00:00:00.0		5						hipertrofia	1		97	98			0	36		55	b3c787b3459ac48df1921ab2f20c970
10946	12254		2023-05-02 00:00:00.0	2023-05-02 06:06:25.032	2023-05-09 00:00:00.0		2023-06-13 00:00:00.0		5						PROG 0205230606	21		87	87			0	30		37	b3c787b3459ac48df1921ab2f20c970
10735	12256		2023-05-02 00:00:00.0	2023-05-02 10:29:15.082	2023-05-09 00:00:00.0		2023-06-13 00:00:00.0		5						hipertrofia			98	98			0	30		2	b3c787b3459ac48df1921ab2f20c970
