client_id,fitness_goal,training_days,training_time,experience_level,body_type,age,recommended_challenges,completed_challenges,mean_rating,Philanthropist,Socialiser,Achiever,Player,Free Spirit,Disruptor
14713,Hipertrofia,2,45,Intermediário,Feminino,15,"[14, 15, 20, 21, 22, 23]","[12, 3, 19, 17]",3.0,4.0,5.0,5.5,4.5,3.0,3.0
2321,Emagrecimento,5,40,Avançado,Feminino,58,"[14, 15, 20, 21, 22, 23]","[23, 15, 6]",4.0,4.5,3.0,6.0,4.0,5.0,4.5
18587,Hipertrofia,5,60,Intermediário,Feminino,28,"[14, 15, 20, 21, 22, 23]","[23, 21]",3.0,3.0,4.0,6.0,3.5,5.0,4.5
797617,Emagrecimento,5,120,Iniciante,Feminino,39,"[14, 15, 20, 21, 22, 23]","[7, 3, 20, 17]",4.666666666666667,4.5,4.0,6.5,3.0,3.5,3.5
787,Emagrecimento,5,115,Iniciante,Feminino,41,"[14, 15, 20, 21, 22, 23]",[13],4.0,4.5,4.0,7.0,2.0,4.5,3.5
112727,Hipertrofia,5,45,Iniciante,Feminino,24,"[14, 15, 20, 21, 22, 23]",[],2.0,4.5,4.0,6.0,3.0,5.0,4.0
650,Força,4,60,Intermediário,Masculino,24,"[14, 15, 20, 21, 22, 23]","[22, 15, 12]",3.3333333333333335,5.0,4.5,6.0,3.0,4.5,2.5
10542,Emagrecimento,3,45,Iniciante,Feminino,37,"[8, 9, 10, 11, 24]",[],,4.5,5.5,5.0,3.5,3.0,3.0
82744,Força,6,60,Avançado,Feminino,45,"[14, 15, 20, 21, 22, 23]",[],,4.0,5.0,7.0,3.5,5.5,3.5
3365,Emagrecimento,3,120,Iniciante,Feminino,26,"[14, 15, 20, 21, 22, 23]",[19],3.0,4.0,4.0,7.0,4.0,4.0,4.0
3234553,Hipertrofia,5,60,Iniciante,Feminino,42,"[14, 15, 20, 21, 22, 23]",[24],5.0,5.0,4.5,6.0,3.5,5.0,4.0
99,Força,4,40,Avançado,Feminino,19,"[14, 15, 20, 21, 22, 23]","[20, 8]",2.75,5.0,3.0,6.5,3.0,4.0,5.0
307308,Hipertrofia,6,120,Intermediário,Feminino,35,"[14, 15, 20, 21, 22, 23]","[3, 20]",,5.0,3.5,6.0,4.5,4.0,3.0
19442,Força,3,50,Iniciante,Feminino,48,"[14, 15, 20, 21, 22, 23]",[23],,4.0,4.0,6.5,4.5,5.5,4.5
1383,Emagrecimento,6,120,Intermediário,Feminino,17,"[14, 15, 20, 21, 22, 23]","[15, 19, 6, 7]",4.0,4.0,4.5,5.5,4.0,3.5,3.0
253655,Emagrecimento,5,60,Iniciante,Feminino,33,"[14, 15, 20, 21, 22, 23]",[22],3.3333333333333335,4.0,4.5,7.0,4.0,4.5,2.5
9653,Hipertrofia,2,120,Iniciante,Feminino,18,"[14, 15, 20, 21, 22, 23]",[20],,4.5,4.0,6.5,3.5,5.5,3.5
9518,Emagrecimento,1,100,Intermediário,Feminino,17,"[14, 15, 20, 21, 22, 23]",[18],2.0,5.0,4.5,6.0,4.0,4.0,3.5
325541,Hipertrofia,3,60,Iniciante,Feminino,27,"[16, 17]",[],2.5,5.5,3.5,5.5,3.0,3.0,3.5
1747,Emagrecimento,5,80,Intermediário,Feminino,48,"[14, 15, 20, 21, 22, 23]","[19, 12, 20]",3.5,3.5,4.5,6.5,3.0,4.0,4.5
130,Hipertrofia,5,65,Intermediário,Feminino,28,"[14, 15, 20, 21, 22, 23]",[12],5.0,3.5,5.0,6.5,2.0,4.5,3.0
376292,Hipertrofia,6,60,Iniciante,Feminino,39,"[14, 15, 20, 21, 22, 23]","[8, 20]",3.0,4.0,3.5,6.5,3.5,4.0,3.5
326102,Hipertrofia,4,60,Intermediário,Feminino,49,"[14, 15, 20, 21, 22, 23]",[],,5.0,3.0,6.0,3.0,5.5,3.5
279224,Hipertrofia,5,120,Iniciante,Feminino,34,"[14, 15, 20, 21, 22, 23]","[4, 18]",5.0,4.5,4.5,6.5,2.5,4.0,3.0
1305,Hipertrofia,5,40,Iniciante,Feminino,58,"[14, 15, 20, 21, 22, 23]","[15, 17]",3.6666666666666665,3.5,4.0,6.5,2.5,4.0,3.5
4701,Emagrecimento,4,60,Iniciante,Feminino,28,"[16, 17]",[],1.5,7.0,5.5,4.5,4.5,4.5,3.5
10843,Hipertrofia,2,40,Intermediário,Feminino,41,"[14, 15, 20, 21, 22, 23]",[20],3.0,4.5,5.0,7.0,4.0,3.5,3.0
1200,Emagrecimento,5,45,Iniciante,Feminino,55,"[14, 15, 20, 21, 22, 23]","[6, 17, 15]",3.0,4.0,5.0,7.0,2.5,5.5,4.0
20131,Emagrecimento,5,90,Iniciante,Feminino,17,"[14, 15, 20, 21, 22, 23]",[],2.0,4.5,3.5,6.0,2.5,4.0,4.0
3447,Emagrecimento,6,50,Intermediário,Feminino,29,"[14, 15, 20, 21, 22, 23]",[13],3.5,5.0,4.0,7.0,2.5,4.0,4.0
243,Hipertrofia,2,60,Iniciante,Masculino,29,"[14, 15, 20, 21, 22, 23]","[12, 22]",3.0,3.5,5.0,6.5,3.5,4.5,5.0
1063,Hipertrofia,4,60,Iniciante,Feminino,51,"[14, 15, 20, 21, 22, 23]","[17, 15, 6]",4.0,5.5,3.5,6.0,3.5,4.0,3.5
2019,Emagrecimento,5,40,Avançado,Feminino,49,"[14, 15, 20, 21, 22, 23]","[17, 13, 14]",3.0,4.5,3.5,6.0,4.0,3.5,3.5
14520,Hipertrofia,4,60,Avançado,Masculino,31,"[14, 15, 20, 21, 22, 23]","[15, 11, 18]",4.0,5.5,4.5,6.5,4.0,4.5,3.5
7246,Hipertrofia,6,70,Avançado,Feminino,26,"[14, 15, 20, 21, 22, 23]",[],1.5,5.0,4.0,6.5,2.5,5.5,3.0
392006,Hipertrofia,5,70,Intermediário,Feminino,25,"[14, 15, 20, 21, 22, 23]","[14, 12]",4.0,4.5,4.5,6.0,4.0,3.0,4.0
4165,Emagrecimento,5,120,Avançado,Feminino,31,"[14, 15, 20, 21, 22, 23]","[15, 3, 14]",4.0,4.0,5.5,6.5,3.5,4.5,3.5
94,Hipertrofia,5,60,Avançado,Feminino,27,"[14, 15, 20, 21, 22, 23]","[21, 18]",4.5,4.5,4.5,7.0,4.5,4.0,3.0
74668,Hipertrofia,2,60,Intermediário,Masculino,48,"[14, 15, 20, 21, 22, 23]",[20],2.0,4.0,5.5,6.5,2.5,5.5,3.5
5396,Emagrecimento,5,60,Intermediário,Feminino,34,"[14, 15, 20, 21, 22, 23]","[20, 18]",2.0,5.5,3.0,6.0,4.5,3.5,3.5
395238,Emagrecimento,3,60,Iniciante,Feminino,42,"[8, 9, 10, 11, 24]",[],2.5,5.0,7.0,5.0,5.5,3.5,3.0
3423,Emagrecimento,5,70,Intermediário,Feminino,59,"[14, 15, 20, 21, 22, 23]","[22, 7, 23]",3.5,5.0,3.5,6.0,4.5,6.0,3.5
3304,Hipertrofia,5,60,Intermediário,Masculino,45,"[14, 15, 20, 21, 22, 23]",[],2.0,5.0,3.0,6.0,5.0,4.5,3.0
2858,Hipertrofia,3,50,Intermediário,Feminino,32,"[14, 15, 20, 21, 22, 23]","[18, 21]",2.6666666666666665,5.5,4.0,6.5,2.5,4.5,4.0
86636,Emagrecimento,6,40,Intermediário,Feminino,26,"[16, 17]",[17],2.6666666666666665,6.0,4.0,5.5,3.0,5.5,3.0
3311,Emagrecimento,6,60,Avançado,Feminino,26,"[14, 15, 20, 21, 22, 23]","[22, 11]",3.3333333333333335,4.5,3.0,7.0,3.0,4.5,4.0
6124,Hipertrofia,4,50,Intermediário,Feminino,23,"[14, 15, 20, 21, 22, 23]","[17, 12]",4.5,4.0,4.0,7.0,4.0,3.0,3.0
1333,Hipertrofia,6,120,Avançado,Feminino,33,"[16, 17]",[8],,6.0,5.0,6.0,4.5,4.0,3.5
393359,Hipertrofia,5,65,Intermediário,Feminino,18,"[14, 15, 20, 21, 22, 23]","[23, 3]",3.0,4.0,4.0,6.5,2.5,5.0,4.0
1174,Hipertrofia,5,50,Intermediário,Feminino,29,"[14, 15, 20, 21, 22, 23]","[18, 3, 13, 21]",3.6666666666666665,5.5,5.5,6.5,4.5,5.0,3.0
25910,Emagrecimento,5,74,Avançado,Feminino,28,"[14, 15, 20, 21, 22, 23]","[22, 15, 3]",3.0,5.5,4.0,7.0,4.0,4.5,3.0
350,Hipertrofia,6,120,Iniciante,Feminino,37,"[14, 15, 20, 21, 22, 23]","[15, 14, 17]",3.0,3.5,4.5,6.0,3.5,5.5,3.0
471581,Hipertrofia,5,40,Intermediário,Feminino,35,"[14, 15, 20, 21, 22, 23]","[6, 19, 10]",3.25,5.0,4.5,6.5,3.0,4.5,3.5
28,Emagrecimento,1,40,Iniciante,Feminino,19,"[8, 9, 10, 11, 24]","[12, 9]",2.75,5.0,6.0,4.0,5.5,2.5,3.0
350041,Hipertrofia,4,60,Avançado,Feminino,25,"[14, 15, 20, 21, 22, 23]","[22, 20]",3.0,5.0,5.5,7.0,3.5,5.5,4.0
20815,Hipertrofia,4,90,Avançado,Masculino,36,"[14, 15, 20, 21, 22, 23]",[8],3.6666666666666665,4.0,3.5,6.0,4.0,4.5,3.0
5073,Hipertrofia,5,60,Intermediário,Feminino,43,"[14, 15, 20, 21, 22, 23]",[10],4.0,4.0,3.5,6.0,4.0,4.0,4.5
391858,Hipertrofia,6,50,Intermediário,Feminino,21,"[14, 15, 20, 21, 22, 23]","[13, 6]",3.0,4.5,5.0,6.5,3.5,3.5,3.0
689,Hipertrofia,3,40,Intermediário,Feminino,31,"[14, 15, 20, 21, 22, 23]",[],1.0,4.0,3.5,6.0,4.5,4.5,3.5
786,Força,4,60,Iniciante,Feminino,42,"[14, 15, 20, 21, 22, 23]","[4, 22]",3.0,5.0,4.0,7.0,4.5,4.5,4.0
376495,Hipertrofia,3,50,Iniciante,Feminino,38,"[14, 15, 20, 21, 22, 23]","[22, 18, 9]",3.3333333333333335,5.0,3.5,6.5,4.5,4.0,4.0
9516,Emagrecimento,1,110,Iniciante,Feminino,19,"[14, 15, 20, 21, 22, 23]",[20],2.0,4.0,3.0,6.5,2.5,5.0,3.0
15089,Emagrecimento,5,60,Intermediário,Feminino,56,"[14, 15, 20, 21, 22, 23]","[21, 22]",3.5,4.0,4.0,6.0,4.5,4.0,3.0
387977,Hipertrofia,6,60,Avançado,Feminino,14,"[14, 15, 20, 21, 22, 23]","[8, 13, 23]",4.0,3.5,3.5,6.0,3.5,5.0,2.5
420380,Hipertrofia,1,40,Iniciante,Feminino,33,"[14, 15, 20, 21, 22, 23]","[18, 12]",5.0,4.5,4.0,5.5,3.0,5.0,3.0
45939,Hipertrofia,6,120,Avançado,Feminino,38,"[14, 15, 20, 21, 22, 23]","[22, 3, 14]",4.0,4.5,5.0,6.5,2.5,3.5,3.0
8899,Hipertrofia,6,60,Avançado,Feminino,22,"[14, 15, 20, 21, 22, 23]","[20, 18]",3.0,5.0,4.5,7.0,2.5,5.0,3.5
19929,Hipertrofia,5,60,Iniciante,Feminino,42,"[14, 15, 20, 21, 22, 23]",[],1.0,5.5,5.5,7.0,4.0,4.0,4.5
1704,Hipertrofia,3,60,Intermediário,Feminino,23,"[14, 15, 20, 21, 22, 23]","[22, 19]",5.0,5.5,3.5,7.0,3.0,5.0,4.0
792100,Hipertrofia,6,40,Avançado,Feminino,39,"[8, 9, 10, 11, 24]","[5, 12]",,4.5,5.0,5.0,3.0,4.0,3.0
393680,Emagrecimento,3,90,Iniciante,Feminino,26,"[14, 15, 20, 21, 22, 23]","[13, 21, 20]",,5.0,4.5,6.5,3.5,5.0,2.5
49645,Hipertrofia,4,90,Iniciante,Masculino,43,"[14, 15, 20, 21, 22, 23]","[13, 23]",2.6666666666666665,5.0,3.5,7.0,2.5,4.0,3.0
373868,Hipertrofia,3,59,Intermediário,Feminino,25,"[14, 15, 20, 21, 22, 23]","[18, 10]",,5.5,5.5,6.0,3.5,3.5,3.5
1,Hipertrofia,2,60,Intermediário,Masculino,29,"[14, 15, 20, 21, 22, 23]","[23, 21]",3.0,4.5,4.0,6.5,3.5,4.5,3.5
454,Hipertrofia,5,60,Avançado,Masculino,36,"[14, 15, 20, 21, 22, 23]",[3],1.6666666666666667,5.0,5.0,6.0,3.5,4.0,2.5
672,Hipertrofia,4,40,Iniciante,Feminino,36,"[12, 13]",[17],3.5,3.5,4.0,5.0,3.5,5.5,3.5
390621,Hipertrofia,3,50,Iniciante,Feminino,43,"[14, 15, 20, 21, 22, 23]","[15, 20]",3.0,4.5,4.5,6.0,2.5,5.0,3.5
327254,Hipertrofia,4,40,Avançado,Feminino,28,"[14, 15, 20, 21, 22, 23]",[23],,4.0,5.0,7.0,2.5,5.5,3.5
69127,Hipertrofia,4,60,Intermediário,Feminino,26,"[14, 15, 20, 21, 22, 23]","[12, 4]",3.0,4.0,5.5,6.5,3.0,4.0,4.5
191,Emagrecimento,4,60,Iniciante,Feminino,48,"[8, 9, 10, 11, 24]",[11],5.0,6.0,6.5,4.0,4.5,3.0,3.0
57068,Emagrecimento,4,40,Avançado,Feminino,45,"[14, 15, 20, 21, 22, 23]","[20, 10]",4.0,5.5,5.5,6.5,3.5,5.0,3.0
4611,Hipertrofia,5,40,Intermediário,Feminino,51,"[14, 15, 20, 21, 22, 23]","[18, 23]",3.3333333333333335,3.0,5.5,6.5,3.5,4.5,4.0
247,Força,5,60,Iniciante,Masculino,51,"[14, 15, 20, 21, 22, 23]",[14],1.0,5.0,4.0,6.5,3.0,5.5,3.5
3,Hipertrofia,3,60,Intermediário,Masculino,29,"[14, 15, 20, 21, 22, 23]",[23],3.0,4.0,5.0,6.5,3.5,4.5,4.5
116219,Hipertrofia,3,90,Avançado,Feminino,59,"[14, 15, 20, 21, 22, 23]","[15, 21, 7, 14]",3.5,4.0,3.0,6.5,3.5,5.5,3.5
49,Emagrecimento,6,80,Avançado,Masculino,29,"[14, 15, 20, 21, 22, 23]","[22, 9, 14]",3.0,5.0,5.5,6.0,4.0,4.5,3.5
267,Hipertrofia,6,70,Avançado,Feminino,34,"[14, 15, 20, 21, 22, 23]",[10],4.0,3.5,3.5,6.5,3.0,5.5,3.0
10722,Emagrecimento,5,120,Intermediário,Feminino,30,"[14, 15, 20, 21, 22, 23]",[10],3.0,5.0,5.0,6.5,2.5,5.0,4.5
