_chave,client_id,dominant_hexad,secondary_hexad,fitness_goal,training_days,training_time,experience_level,body_type,age,Philanthropist,Socialiser,Achiever,Player,Free Spirit,Disruptor,pred_dominant_hexad,pred_secondary_hexad
406d0030e4ccb57aaf67be16c3a57c87,797617,Achiever,Philanthropist,Emagrecimento,5,120,Iniciante,Feminino,39,4.5,4.0,6.5,3.0,3.5,3.5,Achiever,Philanthropist
45d1242db3d31f2e0c6a0af729ad5262,787,Achiever,Philanthropist,Emagrecimento,5,115,Iniciante,Feminino,41,4.5,4.0,7.0,2.0,4.5,3.5,Achiever,Philanthropist
a855c5c74458a07ac7301a1a8df5b7ed-1,112727,Achiever,Player,Hipertrofia,5,45,Iniciante,Feminino,24,4.5,4.0,6.0,3.0,5.0,4.0,Achiever,Free Spirit
810f691394b9cf79d33459a08861f3ed,650,Achiever,Philanthropist,Força,4,60,Intermediário,Masculino,24,5.0,4.5,6.0,3.0,4.5,2.5,Achiever,Philanthropist
ef9f2365f60ac8e2356e254c8c91488f,10542,Socialiser,Free Spirit,Emagrecimento,3,45,Iniciante,Feminino,37,4.5,5.5,5.0,3.5,3.0,3.0,Socialiser,Achiever
24f76f3d10e690809a26d615e4f929f4,82744,Achiever,Free Spirit,Força,6,60,Avançado,Feminino,45,4.0,5.0,7.0,3.5,5.5,3.5,Achiever,Free Spirit
15e75f9b0081beb6c696282aa698083a,3365,Achiever,Free Spirit,Emagrecimento,3,120,Iniciante,Feminino,26,4.0,4.0,7.0,4.0,4.0,4.0,Achiever,Philanthropist
5c79c44dc007331356c6b1c4a554952b,3234553,Achiever,Free Spirit,Hipertrofia,5,60,Iniciante,Feminino,42,5.0,4.5,6.0,3.5,5.0,4.0,Achiever,Philanthropist
f3a8c1e7d5b49f620a3d8e2f7c6b1d04,99,Achiever,Philanthropist,Força,4,40,Avançado,Feminino,19,5.0,3.0,6.5,3.0,4.0,5.0,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,307308,Achiever,Socialiser,Hipertrofia,6,120,Intermediário,Feminino,35,5.0,3.5,6.0,4.5,4.0,3.0,Achiever,Philanthropist
56e9a7c9d198f4cde484ff7a72f64b3,19442,Achiever,Philanthropist,Força,3,50,Iniciante,Feminino,48,4.0,4.0,6.5,4.5,5.5,4.5,Achiever,Free Spirit
3e6fa6444955ccfcd0a709445b4db404,1383,Achiever,Disruptor,Emagrecimento,6,120,Intermediário,Feminino,17,4.0,4.5,5.5,4.0,3.5,3.0,Achiever,Socialiser
6e880af06397116206a19ddb3f224226,253655,Achiever,Disruptor,Emagrecimento,5,60,Iniciante,Feminino,33,4.0,4.5,7.0,4.0,4.5,2.5,Achiever,Socialiser
33c79af7b8b0236ae5e20a8a1d4c85e3,9653,Achiever,Philanthropist,Hipertrofia,2,120,Iniciante,Feminino,18,4.5,4.0,6.5,3.5,5.5,3.5,Achiever,Free Spirit
33c79af7b8b0236ae5e20a8a1d4c85e3,9518,Achiever,Free Spirit,Emagrecimento,1,100,Intermediário,Feminino,17,5.0,4.5,6.0,4.0,4.0,3.5,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,325541,Achiever,Socialiser,Hipertrofia,3,60,Iniciante,Feminino,27,5.5,3.5,5.5,3.0,3.0,3.5,Philanthropist,Achiever
3e6fa6444955ccfcd0a709445b4db404-1,1747,Achiever,Disruptor,Emagrecimento,5,80,Intermediário,Feminino,48,3.5,4.5,6.5,3.0,4.0,4.5,Achiever,Socialiser
493f0ae610cc73f90fe94dbf6b7e1556-1,130,Achiever,Player,Hipertrofia,5,65,Intermediário,Feminino,28,3.5,5.0,6.5,2.0,4.5,3.0,Achiever,Socialiser
24f76f3d10e690809a26d615e4f929f4,376292,Achiever,Philanthropist,Hipertrofia,6,60,Iniciante,Feminino,39,4.0,3.5,6.5,3.5,4.0,3.5,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,326102,Achiever,Socialiser,Hipertrofia,4,60,Intermediário,Feminino,49,5.0,3.0,6.0,3.0,5.5,3.5,Achiever,Free Spirit
24f76f3d10e690809a26d615e4f929f4,279224,Achiever,Philanthropist,Hipertrofia,5,120,Iniciante,Feminino,34,4.5,4.5,6.5,2.5,4.0,3.0,Achiever,Philanthropist
61557b0f373b018a6a7c9a841d94d4cb,1305,Achiever,Disruptor,Hipertrofia,5,40,Iniciante,Feminino,58,3.5,4.0,6.5,2.5,4.0,3.5,Achiever,Socialiser
b3c787b3459ac48df1921ab2f20c970,4701,Socialiser,Player,Emagrecimento,4,60,Iniciante,Feminino,28,7.0,5.5,4.5,4.5,4.5,3.5,Philanthropist,Socialiser
2d0a6f85f22b8c753f8eb5c4102b825c,10843,Achiever,Free Spirit,Hipertrofia,2,40,Intermediário,Feminino,41,4.5,5.0,7.0,4.0,3.5,3.0,Achiever,Socialiser
27b0a6d625f870a0b0a3e5a539643550,1200,Achiever,Player,Emagrecimento,5,45,Iniciante,Feminino,55,4.0,5.0,7.0,2.5,5.5,4.0,Achiever,Free Spirit
56e9a7c9d198f4cde484ff7a72f64b3,20131,Achiever,Socialiser,Emagrecimento,5,90,Iniciante,Feminino,17,4.5,3.5,6.0,2.5,4.0,4.0,Achiever,Philanthropist
ef0086de08f5149c0f1e6993006db756,3447,Achiever,Free Spirit,Emagrecimento,6,50,Intermediário,Feminino,29,5.0,4.0,7.0,2.5,4.0,4.0,Achiever,Philanthropist
f3924d6d232204d3cdcd43cac1100a85,243,Achiever,Player,Hipertrofia,2,60,Iniciante,Masculino,29,3.5,5.0,6.5,3.5,4.5,5.0,Achiever,Socialiser
15932ba2fc78b049cfd23c6673788f50-1,1063,Achiever,Socialiser,Hipertrofia,4,60,Iniciante,Feminino,51,5.5,3.5,6.0,3.5,4.0,3.5,Achiever,Philanthropist
1da55c23fdaab45d10e80e045b2ff0bc,2019,Achiever,Disruptor,Emagrecimento,5,40,Avançado,Feminino,49,4.5,3.5,6.0,4.0,3.5,3.5,Achiever,Philanthropist
a64323b2eb479b5afed8d581c35a38a2,14520,Achiever,Philanthropist,Hipertrofia,4,60,Avançado,Masculino,31,5.5,4.5,6.5,4.0,4.5,3.5,Achiever,Philanthropist
f2aa7a0038e82e1f816f89bbf62a91dd,7246,Achiever,Player,Hipertrofia,6,70,Avançado,Feminino,26,5.0,4.0,6.5,2.5,5.5,3.0,Achiever,Free Spirit
24f76f3d10e690809a26d615e4f929f4,392006,Achiever,Free Spirit,Hipertrofia,5,70,Intermediário,Feminino,25,4.5,4.5,6.0,4.0,3.0,4.0,Achiever,Philanthropist
32347c00e2d14a30f49679b944338423,4165,Achiever,Philanthropist,Emagrecimento,5,120,Avançado,Feminino,31,4.0,5.5,6.5,3.5,4.5,3.5,Achiever,Socialiser
493f0ae610cc73f90fe94dbf6b7e1556,94,Achiever,Philanthropist,Hipertrofia,5,60,Avançado,Feminino,27,4.5,4.5,7.0,4.5,4.0,3.0,Achiever,Philanthropist
f48ef72b2343e9c167296f6f5cc6a7f0,74668,Achiever,Disruptor,Hipertrofia,2,60,Intermediário,Masculino,48,4.0,5.5,6.5,2.5,5.5,3.5,Achiever,Socialiser
2423d15b533e65d7e1678bdd951cabd1,5396,Achiever,Socialiser,Emagrecimento,5,60,Intermediário,Feminino,34,5.5,3.0,6.0,4.5,3.5,3.5,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4-1,395238,Socialiser,Player,Emagrecimento,3,60,Iniciante,Feminino,42,5.0,7.0,5.0,5.5,3.5,3.0,Socialiser,Player
459c30b27a254a057f32cbf6d3161af0,3423,Achiever,Disruptor,Emagrecimento,5,70,Intermediário,Feminino,59,5.0,3.5,6.0,4.5,6.0,3.5,Achiever,Free Spirit
28b2202ee6722aa8ff3c1c7bb4ae9567,3304,Achiever,Disruptor,Hipertrofia,5,60,Intermediário,Masculino,45,5.0,3.0,6.0,5.0,4.5,3.0,Achiever,Philanthropist
77ad4134569f2fe000ada16deeb7b682,2858,Achiever,Philanthropist,Hipertrofia,3,50,Intermediário,Feminino,32,5.5,4.0,6.5,2.5,4.5,4.0,Achiever,Philanthropist
150131e0c9c764dedd7df79757b56f8c,86636,Achiever,Player,Emagrecimento,6,40,Intermediário,Feminino,26,6.0,4.0,5.5,3.0,5.5,3.0,Philanthropist,Achiever
34ff1df5da3616856532aa015b4c9a1f,3311,Achiever,Socialiser,Emagrecimento,6,60,Avançado,Feminino,26,4.5,3.0,7.0,3.0,4.5,4.0,Achiever,Philanthropist
9c0319749ba713de5c59ed68a8550b3b,6124,Achiever,Socialiser,Hipertrofia,4,50,Intermediário,Feminino,23,4.0,4.0,7.0,4.0,3.0,3.0,Achiever,Philanthropist
1da55c23fdaab45d10e80e045b2ff0bc,1333,Achiever,Player,Hipertrofia,6,120,Avançado,Feminino,33,6.0,5.0,6.0,4.5,4.0,3.5,Philanthropist,Achiever
24f76f3d10e690809a26d615e4f929f4,393359,Achiever,Socialiser,Hipertrofia,5,65,Intermediário,Feminino,18,4.0,4.0,6.5,2.5,5.0,4.0,Achiever,Free Spirit
672f34ad4973f520e2b12a7f9dc87505,1174,Achiever,Disruptor,Hipertrofia,5,50,Intermediário,Feminino,29,5.5,5.5,6.5,4.5,5.0,3.0,Achiever,Philanthropist
f52ed8d36d0e614ae0ac3b837e4a06a5,25910,Achiever,Player,Emagrecimento,5,74,Avançado,Feminino,28,5.5,4.0,7.0,4.0,4.5,3.0,Achiever,Philanthropist
f390306d647edf763ce86077e9858333,350,Achiever,Free Spirit,Hipertrofia,6,120,Iniciante,Feminino,37,3.5,4.5,6.0,3.5,5.5,3.0,Achiever,Free Spirit
406d0030e4ccb57aaf67be16c3a57c87,471581,Achiever,Philanthropist,Hipertrofia,5,40,Intermediário,Feminino,35,5.0,4.5,6.5,3.0,4.5,3.5,Achiever,Philanthropist
aa5abb60d28e4583f5438c7d4a1cb376,28,Socialiser,Player,Emagrecimento,1,40,Iniciante,Feminino,19,5.0,6.0,4.0,5.5,2.5,3.0,Socialiser,Player
24f76f3d10e690809a26d615e4f929f4,350041,Achiever,Disruptor,Hipertrofia,4,60,Avançado,Feminino,25,5.0,5.5,7.0,3.5,5.5,4.0,Achiever,Socialiser
255aade0e06519b539acaa01786ad63,20815,Achiever,Philanthropist,Hipertrofia,4,90,Avançado,Masculino,36,4.0,3.5,6.0,4.0,4.5,3.0,Achiever,Free Spirit
34008966a170599f7cbb9f528cb63067,5073,Achiever,Disruptor,Hipertrofia,5,60,Intermediário,Feminino,43,4.0,3.5,6.0,4.0,4.0,4.5,Achiever,Disruptor
24f76f3d10e690809a26d615e4f929f4,391858,Achiever,Socialiser,Hipertrofia,6,50,Intermediário,Feminino,21,4.5,5.0,6.5,3.5,3.5,3.0,Achiever,Socialiser
e94559d5f1501350a50015caca2e189f,689,Achiever,Disruptor,Hipertrofia,3,40,Intermediário,Feminino,31,4.0,3.5,6.0,4.5,4.5,3.5,Achiever,Player
2d1001db06cf2a8f191fd67794a9f19f,786,Achiever,Player,Força,4,60,Iniciante,Feminino,42,5.0,4.0,7.0,4.5,4.5,4.0,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,376495,Achiever,Socialiser,Hipertrofia,3,50,Iniciante,Feminino,38,5.0,3.5,6.5,4.5,4.0,4.0,Achiever,Philanthropist
56e9a7c9d198f4cde484ff7a72f64b3,9516,Achiever,Disruptor,Emagrecimento,1,110,Iniciante,Feminino,19,4.0,3.0,6.5,2.5,5.0,3.0,Achiever,Free Spirit
5c79c44dc007331356c6b1c4a554952b,15089,Achiever,Philanthropist,Emagrecimento,5,60,Intermediário,Feminino,56,4.0,4.0,6.0,4.5,4.0,3.0,Achiever,Player
a4eaccb9b154a6c749240f8235677ba9,387977,Achiever,Philanthropist,Hipertrofia,6,60,Avançado,Feminino,14,3.5,3.5,6.0,3.5,5.0,2.5,Achiever,Free Spirit
5c367450890ebad1a8752bbd7060b820,420380,Achiever,Disruptor,Hipertrofia,1,40,Iniciante,Feminino,33,4.5,4.0,5.5,3.0,5.0,3.0,Achiever,Free Spirit
f4bc544c4f6d26707d2e3a3efa9e8893,45939,Achiever,Free Spirit,Hipertrofia,6,120,Avançado,Feminino,38,4.5,5.0,6.5,2.5,3.5,3.0,Achiever,Socialiser
6ef7e3d737a76a38d25f4f1b716c1c2d,8899,Achiever,Disruptor,Hipertrofia,6,60,Avançado,Feminino,22,5.0,4.5,7.0,2.5,5.0,3.5,Achiever,Philanthropist
53759dd9390c5f0da8f9cf410091c4e2,19929,Achiever,Socialiser,Hipertrofia,5,60,Iniciante,Feminino,42,5.5,5.5,7.0,4.0,4.0,4.5,Achiever,Philanthropist
60af85257bcbbea7569312fe6ab602ed,1704,Achiever,Socialiser,Hipertrofia,3,60,Intermediário,Feminino,23,5.5,3.5,7.0,3.0,5.0,4.0,Achiever,Philanthropist
74105f1456f261e4f9edfae6315fd8b5,792100,Achiever,Player,Hipertrofia,6,40,Avançado,Feminino,39,4.5,5.0,5.0,3.0,4.0,3.0,Socialiser,Achiever
24f76f3d10e690809a26d615e4f929f4,393680,Achiever,Free Spirit,Emagrecimento,3,90,Iniciante,Feminino,26,5.0,4.5,6.5,3.5,5.0,2.5,Achiever,Philanthropist
b63705a8cc952640438236edfecf0044,49645,Achiever,Disruptor,Hipertrofia,4,90,Iniciante,Masculino,43,5.0,3.5,7.0,2.5,4.0,3.0,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,373868,Achiever,Socialiser,Hipertrofia,3,59,Intermediário,Feminino,25,5.5,5.5,6.0,3.5,3.5,3.5,Achiever,Philanthropist
f3924d6d232204d3cdcd43cac1100a85,1,Achiever,Socialiser,Hipertrofia,2,60,Intermediário,Masculino,29,4.5,4.0,6.5,3.5,4.5,3.5,Achiever,Philanthropist
7c5240df40569710cfe2e44f529984b7,454,Achiever,Free Spirit,Hipertrofia,5,60,Avançado,Masculino,36,5.0,5.0,6.0,3.5,4.0,2.5,Achiever,Philanthropist
db578f0b87de74e77f9d7a7e5d799c6b,672,Achiever,Player,Hipertrofia,4,40,Iniciante,Feminino,36,3.5,4.0,5.0,3.5,5.5,3.5,Free Spirit,Achiever
24f76f3d10e690809a26d615e4f929f4,390621,Achiever,Philanthropist,Hipertrofia,3,50,Iniciante,Feminino,43,4.5,4.5,6.0,2.5,5.0,3.5,Achiever,Free Spirit
24f76f3d10e690809a26d615e4f929f4,327254,Achiever,Free Spirit,Hipertrofia,4,40,Avançado,Feminino,28,4.0,5.0,7.0,2.5,5.5,3.5,Achiever,Free Spirit
89e27675022ff04a1af59aaa302887b5,69127,Achiever,Player,Hipertrofia,4,60,Intermediário,Feminino,26,4.0,5.5,6.5,3.0,4.0,4.5,Achiever,Socialiser
83411e660f72e9038413f3ffc19c3f8e,191,Socialiser,Philanthropist,Emagrecimento,4,60,Iniciante,Feminino,48,6.0,6.5,4.0,4.5,3.0,3.0,Socialiser,Philanthropist
943c1927c5e14ef533b4d12e27a93136-1,57068,Achiever,Player,Emagrecimento,4,40,Avançado,Feminino,45,5.5,5.5,6.5,3.5,5.0,3.0,Achiever,Philanthropist
cbe25c4ff1e4afe6323a8e78c190fb8b,4611,Achiever,Free Spirit,Hipertrofia,5,40,Intermediário,Feminino,51,3.0,5.5,6.5,3.5,4.5,4.0,Achiever,Socialiser
1899684202929a8578754f57ec236b7e,247,Achiever,Disruptor,Força,5,60,Iniciante,Masculino,51,5.0,4.0,6.5,3.0,5.5,3.5,Achiever,Free Spirit
384acd1173d8511f56c4b26a337499e6,3,Achiever,Philanthropist,Hipertrofia,3,60,Intermediário,Masculino,29,4.0,5.0,6.5,3.5,4.5,4.5,Achiever,Socialiser
777baaa429f15d1c58b502b169f04ad,116219,Achiever,Free Spirit,Hipertrofia,3,90,Avançado,Feminino,59,4.0,3.0,6.5,3.5,5.5,3.5,Achiever,Free Spirit
ecb5e006c290509f211b54c8c24824b9,49,Achiever,Philanthropist,Emagrecimento,6,80,Avançado,Masculino,29,5.0,5.5,6.0,4.0,4.5,3.5,Achiever,Socialiser
1b98304a3d8f375125bf764a8425f3c1,267,Achiever,Philanthropist,Hipertrofia,6,70,Avançado,Feminino,34,3.5,3.5,6.5,3.0,5.5,3.0,Achiever,Free Spirit
53759dd9390c5f0da8f9cf410091c4e2,10722,Achiever,Socialiser,Emagrecimento,5,120,Intermediário,Feminino,30,5.0,5.0,6.5,2.5,5.0,4.5,Achiever,Philanthropist
