user_id,challenge_id,registration_date
ef9f2365f60ac8e2356e254c8c91488f9260,18,2025-05-12
ca13bee745eaeffb2c494385eeec9a4712740,2,2025-05-04
ca13bee745eaeffb2c494385eeec9a4712740,5,2025-06-08
33fa79e54690bc45beb83343f7e3c73013602,16,2025-05-06
33fa79e54690bc45beb83343f7e3c73013602,6,2025-05-01
33fa79e54690bc45beb83343f7e3c73013602,17,2025-05-10
33fa79e54690bc45beb83343f7e3c73013602,21,2025-05-10
a855c5c74458a07ac7301a1a8df5b7ed11343,17,2025-05-03
a855c5c74458a07ac7301a1a8df5b7ed11343,8,2025-05-30
a855c5c74458a07ac7301a1a8df5b7ed11343,15,2025-05-04
ca13bee745eaeffb2c494385eeec9a4712537,20,2025-05-10
ca13bee745eaeffb2c494385eeec9a4712537,17,2025-05-01
ef9f2365f60ac8e2356e254c8c91488f5801,8,2025-05-20
ef9f2365f60ac8e2356e254c8c91488f3554,10,2025-05-15
ef9f2365f60ac8e2356e254c8c91488f3554,2,2025-05-17
28359f7fc700f9b9904a3b619c84022c15662,23,2025-05-04
28359f7fc700f9b9904a3b619c84022c15662,12,2025-05-11
28359f7fc700f9b9904a3b619c84022c15662,3,2025-05-01
28359f7fc700f9b9904a3b619c84022c15662,24,2025-05-10
a855c5c74458a07ac7301a1a8df5b7ed6115,20,2025-05-30
a855c5c74458a07ac7301a1a8df5b7ed7098,3,2025-05-04
33fa79e54690bc45beb83343f7e3c73010669,7,2025-05-04
33fa79e54690bc45beb83343f7e3c73010669,4,2025-06-08
33fa79e54690bc45beb83343f7e3c73010669,13,2025-05-08
33fa79e54690bc45beb83343f7e3c73010669,23,2025-05-08
33fa79e54690bc45beb83343f7e3c73012333,14,2025-05-05
33fa79e54690bc45beb83343f7e3c73012333,19,2025-05-18
33fa79e54690bc45beb83343f7e3c73012333,15,2025-05-01
33fa79e54690bc45beb83343f7e3c73012333,3,2025-05-05
a855c5c74458a07ac7301a1a8df5b7ed4505,22,2025-05-23
a855c5c74458a07ac7301a1a8df5b7ed4505,10,2025-05-19
ca13bee745eaeffb2c494385eeec9a4713017,3,2025-05-04
ca13bee745eaeffb2c494385eeec9a4713017,21,2025-05-06
33fa79e54690bc45beb83343f7e3c73013107,5,2025-05-18
33fa79e54690bc45beb83343f7e3c73013107,8,2025-06-08
ef9f2365f60ac8e2356e254c8c91488f6772,8,2025-05-14
ef9f2365f60ac8e2356e254c8c91488f6772,5,2025-05-30
28359f7fc700f9b9904a3b619c84022c18319,13,2025-05-19
28359f7fc700f9b9904a3b619c84022c18319,12,2025-05-25
28359f7fc700f9b9904a3b619c84022c18319,23,2025-05-14
28359f7fc700f9b9904a3b619c84022c18319,15,2025-05-01
28359f7fc700f9b9904a3b619c84022c15219,12,2025-05-19
28359f7fc700f9b9904a3b619c84022c15219,14,2025-05-11
28359f7fc700f9b9904a3b619c84022c15219,2,2025-05-02
ca13bee745eaeffb2c494385eeec9a473902,10,2025-06-03
ef9f2365f60ac8e2356e254c8c91488f7901,24,2025-05-31
ef9f2365f60ac8e2356e254c8c91488f7901,9,2025-05-26
ef9f2365f60ac8e2356e254c8c91488f7901,8,2025-05-07
ef9f2365f60ac8e2356e254c8c91488f7824,5,2025-06-04
ef9f2365f60ac8e2356e254c8c91488f7824,15,2025-05-12
ca13bee745eaeffb2c494385eeec9a4712546,5,2025-05-18
28359f7fc700f9b9904a3b619c84022c12282,12,2025-05-24
28359f7fc700f9b9904a3b619c84022c12282,13,2025-05-13
ef9f2365f60ac8e2356e254c8c91488f5245,5,2025-05-11
ef9f2365f60ac8e2356e254c8c91488f5245,11,2025-05-29
ef9f2365f60ac8e2356e254c8c91488f5245,6,2025-05-01
a855c5c74458a07ac7301a1a8df5b7ed9660,6,2025-05-05
a855c5c74458a07ac7301a1a8df5b7ed9660,13,2025-05-17
1d40882bc4bd32e41d71d18381755f9316048,10,2025-05-15
1d40882bc4bd32e41d71d18381755f9316048,14,2025-05-06
1d40882bc4bd32e41d71d18381755f9316048,17,2025-05-07
ef9f2365f60ac8e2356e254c8c91488f4952,6,2025-05-07
ef9f2365f60ac8e2356e254c8c91488f4952,1,2025-05-26
ef9f2365f60ac8e2356e254c8c91488f4952,13,2025-05-10
ef9f2365f60ac8e2356e254c8c91488f4952,22,2025-05-13
33fa79e54690bc45beb83343f7e3c7309572,12,2025-05-22
33fa79e54690bc45beb83343f7e3c7309572,1,2025-05-29
ef9f2365f60ac8e2356e254c8c91488f7321,1,2025-05-03
ef9f2365f60ac8e2356e254c8c91488f7321,23,2025-05-24
ef9f2365f60ac8e2356e254c8c91488f7321,4,2025-05-17
ef9f2365f60ac8e2356e254c8c91488f7124,13,2025-05-05
ef9f2365f60ac8e2356e254c8c91488f7124,7,2025-05-12
1d40882bc4bd32e41d71d18381755f9315556,6,2025-05-13
ef9f2365f60ac8e2356e254c8c91488f9106,18,2025-05-04
ef9f2365f60ac8e2356e254c8c91488f9106,23,2025-05-19
33fa79e54690bc45beb83343f7e3c73011987,12,2025-05-23
33fa79e54690bc45beb83343f7e3c73011987,16,2025-05-13
ef9f2365f60ac8e2356e254c8c91488f735,22,2025-05-05
ef9f2365f60ac8e2356e254c8c91488f735,16,2025-05-02
ca13bee745eaeffb2c494385eeec9a4712761,18,2025-05-29
ca13bee745eaeffb2c494385eeec9a4712761,7,2025-05-04
ef9f2365f60ac8e2356e254c8c91488f8856,20,2025-05-08
ef9f2365f60ac8e2356e254c8c91488f8856,22,2025-05-15
ef9f2365f60ac8e2356e254c8c91488f8856,16,2025-05-31
28359f7fc700f9b9904a3b619c84022c6426,17,2025-05-13
28359f7fc700f9b9904a3b619c84022c6426,13,2025-05-28
28359f7fc700f9b9904a3b619c84022c6426,16,2025-05-18
ef9f2365f60ac8e2356e254c8c91488f5036,24,2025-05-17
ef9f2365f60ac8e2356e254c8c91488f5036,12,2025-05-15
ef9f2365f60ac8e2356e254c8c91488f5036,16,2025-05-14
ef9f2365f60ac8e2356e254c8c91488f5036,13,2025-05-21
1d40882bc4bd32e41d71d18381755f9315199,1,2025-05-15
1d40882bc4bd32e41d71d18381755f9315199,20,2025-05-29
1d40882bc4bd32e41d71d18381755f9315199,22,2025-05-21
1d40882bc4bd32e41d71d18381755f9316206,18,2025-05-25
1d40882bc4bd32e41d71d18381755f9316206,15,2025-06-01
1d40882bc4bd32e41d71d18381755f9315602,11,2025-05-20
1d40882bc4bd32e41d71d18381755f9315602,1,2025-05-11
ca13bee745eaeffb2c494385eeec9a4712627,16,2025-05-02
ca13bee745eaeffb2c494385eeec9a4712627,13,2025-05-10
ca13bee745eaeffb2c494385eeec9a4712627,8,2025-05-05
ca13bee745eaeffb2c494385eeec9a4712627,22,2025-05-01
ef9f2365f60ac8e2356e254c8c91488f6508,9,2025-05-10
ef9f2365f60ac8e2356e254c8c91488f6508,22,2025-05-19
33fa79e54690bc45beb83343f7e3c73011445,20,2025-05-31
33fa79e54690bc45beb83343f7e3c73011445,18,2025-05-02
33fa79e54690bc45beb83343f7e3c73011445,4,2025-05-12
33fa79e54690bc45beb83343f7e3c73011445,8,2025-05-04
28359f7fc700f9b9904a3b619c84022c12433,20,2025-05-13
28359f7fc700f9b9904a3b619c84022c12433,14,2025-05-04
ef9f2365f60ac8e2356e254c8c91488f7391,19,2025-05-27
ef9f2365f60ac8e2356e254c8c91488f7391,11,2025-05-30
ef9f2365f60ac8e2356e254c8c91488f7391,14,2025-05-16
ef9f2365f60ac8e2356e254c8c91488f7391,23,2025-05-17
1d40882bc4bd32e41d71d18381755f9315126,9,2025-05-18
1d40882bc4bd32e41d71d18381755f9315126,12,2025-05-17
1d40882bc4bd32e41d71d18381755f9315126,8,2025-05-26
ca13bee745eaeffb2c494385eeec9a4712917,7,2025-05-15
ca13bee745eaeffb2c494385eeec9a4712917,21,2025-05-03
ca13bee745eaeffb2c494385eeec9a4712917,15,2025-05-27
ef9f2365f60ac8e2356e254c8c91488f7481,21,2025-05-09
ef9f2365f60ac8e2356e254c8c91488f7481,9,2025-06-01
28359f7fc700f9b9904a3b619c84022c15182,8,2025-05-20
28359f7fc700f9b9904a3b619c84022c15182,5,2025-05-14
28359f7fc700f9b9904a3b619c84022c15182,15,2025-05-07
ef9f2365f60ac8e2356e254c8c91488f6900,22,2025-05-11
ef9f2365f60ac8e2356e254c8c91488f6900,12,2025-05-06
ca13bee745eaeffb2c494385eeec9a4713130,10,2025-05-01
ca13bee745eaeffb2c494385eeec9a4713130,14,2025-05-16
ca13bee745eaeffb2c494385eeec9a4713130,16,2025-05-11
1d40882bc4bd32e41d71d18381755f933521,23,2025-05-15
1d40882bc4bd32e41d71d18381755f933521,5,2025-05-16
28359f7fc700f9b9904a3b619c84022c17253,1,2025-05-09
28359f7fc700f9b9904a3b619c84022c17253,15,2025-05-14
33fa79e54690bc45beb83343f7e3c73012524,1,2025-05-24
33fa79e54690bc45beb83343f7e3c73012524,3,2025-05-13
33fa79e54690bc45beb83343f7e3c73012524,8,2025-05-23
33fa79e54690bc45beb83343f7e3c73012524,14,2025-05-14
1d40882bc4bd32e41d71d18381755f9315033,4,2025-05-11
1d40882bc4bd32e41d71d18381755f9315033,3,2025-05-04
ca13bee745eaeffb2c494385eeec9a4712806,21,2025-05-16
ca13bee745eaeffb2c494385eeec9a4712806,7,2025-05-15
28359f7fc700f9b9904a3b619c84022c16576,22,2025-05-02
28359f7fc700f9b9904a3b619c84022c16576,10,2025-05-13
28359f7fc700f9b9904a3b619c84022c16576,23,2025-05-11
a855c5c74458a07ac7301a1a8df5b7ed9778,2,2025-05-15
a855c5c74458a07ac7301a1a8df5b7ed9778,1,2025-05-03
1d40882bc4bd32e41d71d18381755f9315093,1,2025-05-11
1d40882bc4bd32e41d71d18381755f9315093,21,2025-05-07
1d40882bc4bd32e41d71d18381755f9315093,12,2025-05-12
28359f7fc700f9b9904a3b619c84022c10928,17,2025-05-01
1d40882bc4bd32e41d71d18381755f9316290,4,2025-05-19
1d40882bc4bd32e41d71d18381755f9316290,5,2025-06-06
1d40882bc4bd32e41d71d18381755f9313488,17,2025-05-09
1d40882bc4bd32e41d71d18381755f9313488,11,2025-05-18
33fa79e54690bc45beb83343f7e3c73011768,10,2025-06-08
33fa79e54690bc45beb83343f7e3c73011768,19,2025-06-08
33fa79e54690bc45beb83343f7e3c73011768,18,2025-05-07
33fa79e54690bc45beb83343f7e3c73011768,21,2025-05-01
28359f7fc700f9b9904a3b619c84022c14819,3,2025-05-13
28359f7fc700f9b9904a3b619c84022c14819,14,2025-05-08
28359f7fc700f9b9904a3b619c84022c14819,24,2025-05-12
ca13bee745eaeffb2c494385eeec9a4712409,14,2025-05-08
ca13bee745eaeffb2c494385eeec9a4712409,9,2025-05-11
ca13bee745eaeffb2c494385eeec9a4712409,5,2025-06-05
28359f7fc700f9b9904a3b619c84022c18238,8,2025-05-30
28359f7fc700f9b9904a3b619c84022c18238,17,2025-05-19
33fa79e54690bc45beb83343f7e3c73011985,8,2025-06-03
33fa79e54690bc45beb83343f7e3c73011985,23,2025-05-08
33fa79e54690bc45beb83343f7e3c73011985,3,2025-05-04
28359f7fc700f9b9904a3b619c84022c14946,23,2025-05-23
28359f7fc700f9b9904a3b619c84022c14946,16,2025-05-31
28359f7fc700f9b9904a3b619c84022c14946,21,2025-05-03
28359f7fc700f9b9904a3b619c84022c14946,7,2025-05-12
ef9f2365f60ac8e2356e254c8c91488f7584,18,2025-05-05
ef9f2365f60ac8e2356e254c8c91488f7584,22,2025-05-17
ef9f2365f60ac8e2356e254c8c91488f7584,24,2025-05-25
ef9f2365f60ac8e2356e254c8c91488f7584,1,2025-05-08
1d40882bc4bd32e41d71d18381755f9315103,15,2025-06-05
1d40882bc4bd32e41d71d18381755f9315103,20,2025-05-22
ca13bee745eaeffb2c494385eeec9a4712658,5,2025-06-02
ca13bee745eaeffb2c494385eeec9a4712658,13,2025-05-03
ef9f2365f60ac8e2356e254c8c91488f5663,6,2025-05-08
ef9f2365f60ac8e2356e254c8c91488f5663,14,2025-05-11
1d40882bc4bd32e41d71d18381755f939002,1,2025-05-23
1d40882bc4bd32e41d71d18381755f939002,5,2025-05-22
1d40882bc4bd32e41d71d18381755f9315331,3,2025-05-13
1d40882bc4bd32e41d71d18381755f9315331,10,2025-05-09
1d40882bc4bd32e41d71d18381755f9315331,20,2025-06-01
28359f7fc700f9b9904a3b619c84022c15909,21,2025-05-07
28359f7fc700f9b9904a3b619c84022c15909,17,2025-05-09
ef9f2365f60ac8e2356e254c8c91488f8242,19,2025-05-17
ef9f2365f60ac8e2356e254c8c91488f8242,7,2025-05-04
28359f7fc700f9b9904a3b619c84022c18489,1,2025-05-08
28359f7fc700f9b9904a3b619c84022c18489,20,2025-05-15
28359f7fc700f9b9904a3b619c84022c18489,14,2025-05-06
28359f7fc700f9b9904a3b619c84022c18489,15,2025-05-28
33fa79e54690bc45beb83343f7e3c73012734,20,2025-05-31
33fa79e54690bc45beb83343f7e3c73012734,7,2025-05-11
ca13bee745eaeffb2c494385eeec9a4712272,13,2025-05-02
ca13bee745eaeffb2c494385eeec9a4712272,7,2025-05-15
ca13bee745eaeffb2c494385eeec9a4712272,18,2025-05-28
ca13bee745eaeffb2c494385eeec9a4712272,14,2025-05-01
33fa79e54690bc45beb83343f7e3c73011744,5,2025-05-20
33fa79e54690bc45beb83343f7e3c73011744,16,2025-05-06
33fa79e54690bc45beb83343f7e3c73011744,7,2025-05-15
33fa79e54690bc45beb83343f7e3c73011744,13,2025-05-24
a855c5c74458a07ac7301a1a8df5b7ed9640,17,2025-05-12
a855c5c74458a07ac7301a1a8df5b7ed9640,19,2025-05-22
ef9f2365f60ac8e2356e254c8c91488f4686,20,2025-05-13
ef9f2365f60ac8e2356e254c8c91488f4686,17,2025-05-25
ef9f2365f60ac8e2356e254c8c91488f4686,19,2025-05-20
ef9f2365f60ac8e2356e254c8c91488f5543,4,2025-05-03
1d40882bc4bd32e41d71d18381755f9314657,12,2025-05-18
1d40882bc4bd32e41d71d18381755f9314657,15,2025-06-05
33fa79e54690bc45beb83343f7e3c73010856,24,2025-06-04
a855c5c74458a07ac7301a1a8df5b7ed11254,11,2025-05-07
33fa79e54690bc45beb83343f7e3c730153,3,2025-05-03
33fa79e54690bc45beb83343f7e3c730153,19,2025-05-16
33fa79e54690bc45beb83343f7e3c730153,24,2025-05-10
33fa79e54690bc45beb83343f7e3c730153,16,2025-05-10
